Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,PromotionGapRatio,RoleStagnationIndex,TrainingIntensityScore,ManagerStabilityIndicator,CareerGrowthScore,PromotionDelayCategory,TrainingNeedIndicator,CareerStage,HighPromotionGap,CareerCluster,PC1,PC2,HC_Cluster,CareerClusterName
41,1,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5,0.0,0.6666666666666666,0.0,0.8333333333333334,8.1,Recent,1,Mid,0,0,0.3060184778205913,-0.3419868369714439,2,Fast-track Performers
49,0,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,No,23,4,4,1,10,3,3,10,7,1,7,0.1,0.7,0.3,0.7,12.3,Recent,0,Senior,0,1,0.6752297635784712,1.0708656521493807,1,Stable Contributors
37,1,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0,0.0,0.0,0.0,0.0,9.5,Recent,0,Early,0,0,-2.589609608753977,-0.02419538415315786,2,Fast-track Performers
33,0,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0,0.375,0.875,0.375,0.0,6.1,Moderate,0,Senior,0,0,0.040034066359229514,-0.9757995114234892,2,Fast-track Performers
27,0,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,No,12,3,4,1,6,3,3,2,2,2,2,1.0,1.0,1.5,1.0,7.199999999999999,Moderate,0,Early,0,0,-0.07696236899058649,-2.695772315592183,1,Fast-track Performers
32,0,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6,0.4285714285714285,1.0,0.2857142857142857,0.8571428571428571,5.300000000000001,Moderate,0,Senior,0,1,1.5068703502921297,-1.5534414720643346,1,Stable Contributors
59,0,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0,0.0,0.0,3.0,0.0,11.0,Recent,0,Early,0,0,-3.6015107387371468,0.11061906949728206,2,Fast-track Performers
30,0,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0,0.0,0.0,2.0,0.0,10.2,Recent,0,Early,0,0,-3.163564399913984,-0.11992869200005363,2,Fast-track Performers
38,0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,No,21,4,2,0,10,2,3,9,7,1,8,0.1111111111111111,0.7777777777777778,0.2222222222222222,0.8888888888888888,13.1,Recent,0,Senior,0,1,1.1295866033468853,1.2955487819768359,1,Stable Contributors
36,0,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7,1.0,1.0,0.4285714285714285,1.0,4.300000000000001,Critical,0,Senior,1,1,2.722663753780792,-2.1115674904533037,1,Stable Contributors
